q1,q2,q3,q4,q5,dq1,dq2,dq3,dq4,dq5
3.4504,0.49647,-3.5339,1.9312,4.0019,-0.24666,0.90496,-0.33625,-1.1926,0.63516
3.4494,0.5001,-3.5353,1.9264,4.0045,-0.24785,0.90948,-0.33279,-1.193,0.63384
3.4485,0.50375,-3.5366,1.9217,4.007,-0.24904,0.91397,-0.32934,-1.1934,0.63252
3.4475,0.50741,-3.5379,1.9169,4.0095,-0.25023,0.91842,-0.32587,-1.1938,0.6312
3.4464,0.5111,-3.5392,1.9121,4.0121,-0.25141,0.92285,-0.32241,-1.1942,0.62987
3.4454,0.5148,-3.5405,1.9073,4.0146,-0.25259,0.92724,-0.31894,-1.1946,0.62854
3.4444,0.51851,-3.5418,1.9026,4.0171,-0.25376,0.93161,-0.31547,-1.1949,0.62721
3.4434,0.52225,-3.543,1.8978,4.0196,-0.25493,0.93594,-0.312,-1.1953,0.62588
3.4424,0.526,-3.5443,1.893,4.0221,-0.2561,0.94024,-0.30852,-1.1956,0.62455
3.4414,0.52977,-3.5455,1.8882,4.0246,-0.25726,0.94451,-0.30504,-1.196,0.62321
3.4403,0.53356,-3.5467,1.8834,4.0271,-0.25842,0.94875,-0.30156,-1.1963,0.62187
3.4393,0.53736,-3.5479,1.8786,4.0296,-0.25958,0.95295,-0.29807,-1.1966,0.62053
3.4383,0.54118,-3.5491,1.8739,4.0321,-0.26073,0.95713,-0.29458,-1.1968,0.61918
3.4372,0.54502,-3.5503,1.8691,4.0345,-0.26188,0.96127,-0.29109,-1.1971,0.61783
3.4362,0.54887,-3.5514,1.8643,4.037,-0.26302,0.96538,-0.2876,-1.1974,0.61649
3.4351,0.55274,-3.5526,1.8595,4.0395,-0.26416,0.96946,-0.2841,-1.1976,0.61513
3.434,0.55663,-3.5537,1.8547,4.0419,-0.2653,0.97351,-0.2806,-1.1979,0.61378
3.433,0.56053,-3.5548,1.8499,4.0444,-0.26643,0.97752,-0.27709,-1.1981,0.61242
3.4319,0.56445,-3.5559,1.8451,4.0468,-0.26756,0.98151,-0.27359,-1.1983,0.61106
3.4308,0.56838,-3.557,1.8403,4.0493,-0.26869,0.98545,-0.27008,-1.1985,0.6097
3.4298,0.57233,-3.5581,1.8355,4.0517,-0.26981,0.98937,-0.26657,-1.1987,0.60834
3.4287,0.5763,-3.5591,1.8307,4.0541,-0.27093,0.99325,-0.26305,-1.1989,0.60697
